ID,Merchant_url,Stret,City,State,Zip Code,Phone,Fax,Email Address,Remarks
12467,http://www.allhealthtrends.com,2440 S Main St,Lakeport,CA ,95453,866-724-1777,707-263-8032,info@allhealthtrends.com,
15504,http://www.americanoutdoorsports.com,Farmingdale Rd-NYS Route 109,Farmingdale,NY ,11735,63249-1832,63249-3045,aos@americanoutdoorsports.com,
15818,http://www.ammobros.com,15979 S. Piuma Ave,Cerritos,CA ,90703,562-865-3980,909-937-3334,internet.sales@ammobros.com,
15439,http://www.ammogals.com,,,,,855-774-4867,,Info@ammogals.com,
15272,http://www.ammunitionjunction.com,,Golden,CO,,,,info@rojme.com,
15985,http://www.anacortesgunshop.com,9973 Padilla Heights Road,Anacortes,WA,98221,800850-2001,360-588-9100,sales@anacortesgunshop.com,
14962,http://www.annies-guns.com,40927 Grimmer Blvd,Fremont,CA ,94538,510-226-7910,,sales@annies-guns.com,
13310,http://www.apexhealthliving.com,,Huntsville,AL,35802,,,info@aspencreekoutdoors.com,
15505,http://www.armsroomonline.com,19048 E Colonial Dr,Orlando,FL ,32820,407-282-3803,407-282-1165,service@armsroom.com,
17114,http://www.askariel.com,1 S Pointe Dr,Lake Forest,CA ,92660,1949-499-9380,,askariel1@gmail.com,
15033,http://www.aspencreekoutdoors.com,5298 W Maple Ave,Grand Forks,ND,58203,7017320108,,,
15506,http://www.azguns.com,77 W. Chicago St. Suite #9,Chandler,AZ ,85225,855-273-1000,,info@azguns.com,
14964,http://www.aztecharmory.com,"3850 W. 2nd St., PO Box 552",Yucca,AZ ,86438,844-357-3030,,info@aztecharmory.com,
17116,http://www.backcountry.com,2607 3200 W,West Valley City,UT ,84119,800-409-4502,435-575-0331,wkenney@backcountry.com,
15512,http://www.backwoodsoutfitters.net,2421 Ironville Pike,Columbia,PA ,17512,717-684-2017,717-449-5796,tom@bwoarms.com,
15513,http://www.ballardsguns.com,805 S Benedict,White Deer,TX ,79097,806-570-4722,,ballardsguns3@yahoo.com,
15450,http://www.barneyspolicesupplies.com,218 Four Park Rd.,Lafayette,LA,70507,337-896-3667,337-896-3660,sales@mycopshop.com,
16724,http://www.basspro.com,6112 Grand Ave,Gurnee,IL ,60031,800-227-7776,847-855-1052,info@basspro.com,
15514,http://www.battle-gear.com,103 Mabee Ave,Monteagle,TN ,37356,93308-2962,,sales@battle-gear.com,
15487,http://www.beararmstexas.com,110 Industrial Drive,Boerne,TX ,78006,830-249-8519,,Don@BearArmsTexas.com,
15515,http://www.bereadytactical.com,5244 Lad Land Dr,Fredricksburg,VA ,22407,866-225-5055,,info@bereadyllc.com,
15516,http://www.bigcreektraders.com,714 Louisa Street,Rayville,LA ,71269,318-728-6666,318-728-6666,bigcreektraders@att.net,
15517,http://www.bigdfirearms.com,15160 N Hayden Road - Suite 100,Scottsdale,AZ ,85260,480-990046,,service@nfdnetwork.com,
14967,http://www.bigsupplyshop.com,5465 Randolph Road Suite B1,Rockville,MD,20852,888-258-5240,,,
15839,http://www.bikeintercom.com,,,,,877-806984,,info@bikeintercom.com,
15518,http://www.billsoutpost.com,169 N. Calderwood Street,Alcoa,TN ,37701,865-985400,865-985445,billsoutpost@yahoo.com,
15519,http://www.bkfts.com,4994 Trott Circle Unit #28,North Port,FL ,34287,94525-9550,,bkfts1@gmail.com,
15800,http://www.blackopsshop.com,,,,,,,,
14963,http://www.blackrockarmsaz.com,2653 W. Baseline Rd.,Mesa,AZ ,85202,480-442-9383,,sales@blackrockarmsaz.com,
15022,http://www.bladehq.com,Blade HQ 400 S 1000 E Ste E1,Lehi,UT ,84043,888-252-3347,80768-4634,questions@bladehq.com,
16725,http://www.bladematrix.com,833 MONMOUTH ST,NEWPORT,KY,41071,859-215-0248,,sales@bladematrix.com,
15838,http://www.bluetoothheadphonesusa.com,10654 82 Avenue 167,Edmonton,AB,T6E 2A7,7804313054,,,
17048,http://www.bobsga.com,144 Gore Road,Webster,MA ,01570,5089436309,,,
15109,http://www.bodyandfitness.com,,Cheyenne ,WY ,82001,217855-7527,,christina@bodyandfitness.com,
15275,http://www.bpoutfitters.net,3920 s Sheridan rd,TULSA,OK,74145,918-619-9990,,bpoutfitters@cox.net,
15520,http://www.bradsguns.net,3205 W Tapps Dr E,Lake Tapps,WA ,98931,253-350-2944,253-890832,service@bradsguns.com,
15521,http://www.brokenclaysgunandpawn.com,319 nc hwy 42 south,Asheboro,NC ,27205,336-626-8900,336-626-8901,brokenclays@yahoo.com,
17117,http://www.btitactical.com,22754 Stanford Dr,Frankfort,IL ,60423,708-417-1657,815-806-2003,sales@btitactical.com,
16726,http://www.btosports.com,600 Via Alondra,Camarillo,CA ,93012,888-613-3393,805-777-7201,info@btosports.com,
14943,http://www.budsgunshop.com,1105 Industry Rd ,Lexington,KY,40505,1859-368-0371,,sales@budsgunshop.com,
15522,http://www.bulletholemi.net,765 E 8th Street,Holland,MI ,49423,616-395-1911,,bullethole2010@hotmail.com,
15523,http://www.bulletsandbows.com,110 West Louisiana Ave,Rayne,LA ,70578,337-334-0033,850-482-2865,service@bulletsandbows.com,
15524,http://www.bullseyemarksman.com,6190 Parkway North Drive,Cumming ,GA ,30040,678-965-5504,678-965-5447,online@bullseyemarksman.com,
15525,http://www.butchsgunstx.com,1305 Main St,Vernon,TX ,76384,940-553-4867,,butchsgunstx@att.net,
13650,http://www.buyzillion.com,,,,,,,info@buyzillion.com,
13434,http://www.carolbond.com,334 Main Street,Liberty,TX ,77575,800-833-8282,936-336-6226,customerservice@carolbond.com,
17119,http://www.carolinasporting.com,3243 US Hwy 70 East Suite 202,Smithfield,NC ,27577,919-634-9226,919-634-9227,sales@carolinasporting.com,
15526,http://www.cavellasguns.net,701 Ridgewood Ave,Holly Hill,FL ,32117,386-255-9119,3862559120,cavellasguns@att.net,
15280,http://www.cdnnsports.com,,Abilene,TX,,800-588-9500,325-695-4898,sales@cdnnsports.com,
14965,http://www.classiccityfirearms.com,1320 Victoria Road,Watkinsville,GA ,30677,706-622892,,sales@classiccityfirearms.com,
15528,http://www.clelandsoutdoorworld.com,10306 Airport Highway,Swanton,OH ,43558,419-865-4713,,chad@clelands.com,
16727,http://www.clevertraining.com,"1519 Gulf Blvd #1, Indian Rocks ",Beach,FL ,33785,800-577-8538,,sales@clevertraining.com,
15834,http://www.cli-maxridinggear.com,903 Business Pkwy,Richardson,TX ,75081,972-479-0050,,Sales@Cli-MAXRidingGear.com,
17121,http://www.cmchealthstore.com,11656 98th Ave NE,Kirkland,WA,98034,1425-823-8818,,info@cmchealthstore.com,
15529,http://www.cochisesportsandrecreation.com,5388 E Ricks Rd,Willcox,AZ ,85643,520-824-2299,520-824-3355,rick45ap@vtc.net,
17122,http://www.cogunsales.com,,Northglenn,CO ,80233,855-746-2491,888-236-2619,sales@cogunsales.com,
15530,http://www.coloradogunbroker.com,8966 West Bowles Ave Unit R Littleton,Littleton,CO ,80123,720-985251,303-816-9520,josh@coloradogunbroker.com,
15820,http://www.compacc.com,700 US-31,Clarksville,IN ,47129,855-518-6681,800-343-5045,cservice@compacc.com,
15803,http://www.core15rifles.com,4600 W. Hwy 326,Ocala,FL,34482,352-409070,352-409667,sales@core15rifles.com,
15826,http://www.cruisercustomizing.com,,Livermore,CA,,925-583-2200,,,
15532,http://www.customgunsammo.com,4240 FM 842,Lufkin,TX ,75901,936-634-4867,936632-9029,msgs@consolidated.net,
12506,http://www.cvs.com,,,,,,,,Site Not Working
15533,http://www.cyaguns.com,206 E HWY 80 #B,Forney,TX ,75126,972-279-4292,888-502-0993,info@cyaguns.com,
15819,http://www.cyclegear.com,,,,,800-292-5343,,customerservice@cyclegear.com,
15535,http://www.czarfirearms.com,502 Main St,Ford City,PA ,16226,724-994-9601,,czar.firearms@gmail.com,
15536,http://www.dallasgunsourceonline.com,"3305 Wiley Post Rd, Suite B",Carrollton,TX ,75006,972-590-4242,,info@dallasgunsource.com,
15539,http://www.darkhorsegunclub.com,9424 S.Forest Pointe Cir,Sandy,UT ,84092,80558-8088,866-748-6975,sales@darkhorsegunclub.com,
15540,http://www.dctge.com,15160 N Hayden Road - Suite 100,Scottsdale,AZ ,85260,480-990046,,service@nfdnetwork.com,
15543,http://www.dealsonguns.com,"PO Box 456, 590 South 700 East",Spring City,UT ,84662,435-462-9007,888-284-3062,bob@dealsonguns.com,
15544,http://www.dentoncountyarmory.com,3310 Fort Worth Drive Suite A,Denton,TX ,76205,972-904-1872,,dcasnetsales@gmail.com,
15559,http://www.denvergunsandammo.com,8250 W. Coal Mine Ave Unit 2,Littleton,CO ,80123,303-973-9272,303-973-9246,cs@denverammo.com,
15545,http://www.desotopawn.com,8048 Highway 5,Keatchie,LA ,71046,318-933-8484,,desotopawn@gmail.com,
15546,http://www.dfwshooters.com,1830 A Justin Road,Highland Village,TX ,75077,972-436-1911,,travis@dfwshooters.com,
15713,http://www.dhguns.com,606 Morris St,La Conner,WA,98257,360-466-1100,,wadochollidays@yahoo.com,
15830,http://www.directcycleparts.com,7301 Whitehall St STE C,Richland Hills,TX,76118,800-745-6830,888-958-5484,Orders@directcycleparts.com ,
15007,http://www.discountcutlery.net,5781 Waterwheel Road,Six Lakes,MI,48886,866-365-3084,989-365-4050,sales@tntwholesale.net,
15547,http://www.discountfirearms.com,309 W Main Street,Elma,WA ,98541,360-482-6770,360-482-8225,andy@eastcountyguns.com,
17052,http://www.discountgunsonline.com,,,,,,,,Site Not Working
13652,http://www.discountvitaminshop.com,16838 E Parkview Ave,Fountain Hills,AZ ,85268,480-836-0899,,info@discountvitaminshop.com,
15548,http://www.dmgunsales.com,114-120 N Wabash,Howard,KS ,67349,620-374-2340,620-374-5340,moreguns79@yahoo.com,
13435,http://www.drbarbara.com,"1602 Pinhook Rd., Suite 209",Lafayette,LA ,70508,337-988204,337-988244,info@drbarbara.com,
12507,http://www.drugstore.com,,,,,,,,Site Not Working
15638,http://www.dsarms.com,27996 W Industrial Ave,Lake Barrington,IL,60010,847-277-7258,847-277-7259,customerservice@dsarms.com,
17134,http://www.eclectusparrot.com,,,,,404-324488,,,
17056,http://www.elkriveroutfitter.com,2843 Gourdneck Rd NW,Tullahoma,TN,37388,,,,
17137,http://www.endtimeswarehouse.com,,,,,,,info@EndTimesWarehouse.com,
17139,http://www.etsy.com,,,,,,,support@etsy.com,
15552,http://www.fetchums.com,2373 Dickerson Rd,Reno,NV ,89503,775-750-2542,775-337-2569,fetchums@gmail.com,
15553,http://www.fifty1fifty-3tactical.com,,,,,,,,Site Not Working
12531,http://www.fishpond.com,,,,,,,,
15112,http://www.fitnessfirstusa.com,"199 Constitution Avenue, Building #2, Unit 3 ",Portsmouth,NH,3801,800-487-7171,,customerservice@fitnessfirstusa.com,
15554,http://www.flatwaterarms.com,1017 Main St.,Bridgeport,NE ,69336,308-262-7045,3082625259,flatwaterarms@newsblade.net,
17145,http://www.fnsnutrition.com,,,,,,,,Site Not Working
15555,http://www.foothillsgunandpawn.com,103 W Main St,Pickens,SC ,29671,864-878-5808,864-878-5808,foothillsgunandpawn@gmail.com,
16746,http://www.funbike.com,5755 Kearny Villa Rd,San Diego,CA ,92123,858-278-6635,858-974-3052,,
13437,http://www.gaiaglobalwellness.com,,,,,,,,Site Not Working
15708,http://www.gamemastersoutdoors.com,5100 Broadway St,Quincy,IL ,62305,217-229300,,,
13340,http://www.gameonsupplements.com,,,,,,,,Site Not Working
14905,http://www.gandermountain.com,,,,,,,,Site Not Working
15655,http://www.gandrtactical.com,5002 New Cumberland Rd NE,Mineral City,OH ,44656,330-343-2800,888-959-1469,sales@gandrtactical.com,
14296,http://www.garysgunshop.com,905 W. 41st Street,Sioux Falls,SD ,57105,605-332-6119,,morgan.garysgunshop@gmail.com,
15840,http://www.gasawaymotorsports.com,,,,,765-432-9227,,gasawaymotosports@gmail.com,
16747,http://www.gearheadcanada.com,"306 Moodie Dr,",Ottawa,ON,K2H 9G1,613-828-9151,613-828-7348,gearheadcanada@gmail.com,
16748,http://www.generalhomerepairs.com,,,,,,,,
15801,http://www.gideontactical.com,104 Independence Way,Coatesville,PA ,19320,610-857-8070,888-335-9800,sales@OfficerStore.com,
15556,http://www.globalarms.org,4525 San Fernando Rd Ste G,Glendale,CA ,91204,818-500-4959,818-500-8032,harry@globalarms.org,
15449,http://www.glockparts.com,GlockParts.com LLC P. O. Box 296,Bailey,CO ,80421,303-903-5465,866-897-9744,customerservice@glockparts.com,
13438,http://www.gloriagilbere.com,,,,,888-352-8175,,healthmatterstore@frontier.com,
12533,http://www.gnc.com,,,,,,,,
13440,http://www.goprodroneclub.com,,,,,,,info@goprodroneclub.com,
